('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！方正证券(sh601901) 亚夏汽车(sz002607) 金信诺(sz300252) 旗滨集团(sh601636) 江苏国信(sz002608) 捷顺科技(sz002609)', '2018-07-24 14:06:02')
('$红宇新材 sz300345$ 昨天大长腿气势很强，看好的人很多，我也是其中一个。今天直接顶到高开9个点被砸死午后跌停，同样是重组这条线的，想要再大盘这么差的情况下去模仿亚夏汽车，所以今天被砸了。$亚夏汽车 sz002607$ 昨天也说过了，基本见顶形态，今天没悬念又是低开走跌停的节奏，现在龙头见 ...展开全文c', '2018-06-21 07:31:30')
('宋都股份公告，公司签署《武汉民生眼耳鼻喉项目合作意向书》，拟以现金形式购买武汉民生51%至55%股权。初步约定武汉民生估值为9.8亿元。武汉民生是眼耳鼻喉连锁医疗机构，如若成功实施将是公司在医疗行业领域的尝试。@微博股票 #今日看盘# $亚夏汽车 sz002607$ #投资达人说 # $中兴通讯 sz000063$', '2018-06-21 07:23:35')
('6.21复盘盘前情绪：并购重组的红宇新材 亚夏汽车 填权的超频三 集泰股份 钢铁的西宁特钢和超跌的猛狮科技 观察重组的持续性和填权的人气9：30名家汇 集泰股份一字开 超频三-5开盘 红宇新材+9开盘9:31名家汇涨停秒板2连板9:33猛狮科技涨停3连板9:34美团概念来伊份冲板被砸 开板次新韩家科技走强9: ...展开全文c', '2018-06-21 06:26:15')
('发布了头条文章：《史上最强的黄金尾盘买入法，一旦学会轻轻松松抓大牛股！》 #002264新华都##002450康得新##600516方大炭素##002607亚夏汽车#|史上最强的...', '2018-06-21 05:59:20')
('尾盘恐慌加剧百股跌停。#今日复盘##今日看盘##股市直播# $上证指数 sh000001$ #002607亚夏汽车# $超频三 sz300647$ $红宇新材 sz300345$', '2018-06-21 05:42:27')
('昨天下午，开着亚夏汽车，今天上午下车，住进金陵饭店吃饭，立夏，吃面', '2018-06-21 05:31:25')
('重组龙头从辉煌到没落一路走来，芊芊都在见证着$亚夏汽车 sz002607$ “生命”周期已经结束，接下来就是“还债”的时候了具体走势可参照之前的$三六零 sh601360$ ，你懂得的了!', '2018-06-21 05:14:41')
('A股现离奇一幕，每天尾盘搞偷袭，小散吐槽：这样的玩法还有谁？ #艾格拉斯 sz002619[股票]# #万科Ａ sz000002[股票]# #永利股份 sz300230[股票]# #亚夏汽车 sz002607[股票]# 彭曲评股的...', '2018-06-21 04:17:37')
('昨天还看好红宇新材接力亚夏汽车，今天就怂了$红宇新材 sz300345$ 集合竞价分时均线开得比较高，开盘直接住下砸，因均线没有抽起分时就形成了卖点，还好跑得快，你躲了这碗大面吗？一些基础的分时图基础还是要有的，最近大量的妖股见顶的分时都是这样，芊芊最早提出这个分时的还是爱婴室那 ...展开全文c', '2018-06-21 04:07:31')
('【6月21日资金流向】主力净流入行业板块前五：银行、房地产、煤炭、化工、汽车主力净流入概念板块前五：住房租赁、装配式建筑、中韩自贸区、水泥、特钢主力净流入个股前十：万科A、新和成、超频三、万华化学、三一重工、招商银行、兴业银行、宁德时代、路畅科技、西宁特钢\ue627 今日看盘 ...展开全文c', '2018-06-21 04:04:41')
('上海一女博士终于把“换手率”讲清楚了，学会后，A股是娶款机$京泉华 sz002885$ $亚夏汽车 sz002607$ $潍柴动力 sz000338$ $创维数字 sz000810$ 马旷盈的秒...', '2018-06-21 03:59:40')
('“当巨大的下跌空间展示在面前时，对手握现金的人，是无比诱惑的。但，如果不是擅长做超跌反弹模式的人，看戏更健康。等到段子手也无意自嘲，等到明王兄也套牢，那就下一注吧，小注怡情。”---克拉美书#今日复盘##今日看盘##股市直播# $上证指数 sh000001$ #002607亚夏汽车# $超频三 sz300647$', '2018-06-21 03:54:00')
('重组成最大热门：亚夏汽车14板，深深宝A3连板，把握短线之势！$北辰实业 sh601588$ $康德莱 sh603987$ $中科创达 sz300496$ $世纪天鸿 sz300654$ 马旷盈的秒...', '2018-06-21 03:44:59')
('重组成最大热门：亚夏汽车14板，深深宝A3连板，把握短线之势！$天健集团 sz000090$ $华联股份 sz000882$ $光华科技 sz002741$ 马旷盈的秒...', '2018-06-21 03:44:58')
('重组成最大热门：亚夏汽车14板，深深宝A3连板，把握短线之势！$延华智能 sz002178$ $康缘药业 sh600557$ $佳力图 sh603912$ $中炬高新 sh600872$ 马旷盈的秒...', '2018-06-21 03:44:56')
('重组成最大热门：亚夏汽车14板，深深宝A3连板，把握短线之势！$国创高新 sz002377$ $文投控股 sh600715$ $海南矿业 sh601969$ 马旷盈的秒...', '2018-06-21 03:44:54')
('收盘：沪指上午冲高回落，大智一直提醒大家做好防守，午后沪指震荡下行，尾盘逼近前低。创业板和中小板指数午后双双创出调整新低，五大指数全部飘绿。接下来，市场又将重新回到探明底部的过程之中，继续耐心等待右侧交易的进场机会。 市场全天两大板块表现突出，分别是受益涨价的维生素，以及被钢铁板 ...展开全文c', '2018-06-21 03:42:20')
('这两天没有写东西 完全是被亚夏汽车气的 浑身无力 没劲儿记录。1首先不是气亚夏汽车本身， 而是气自己， 在6月19日 周二 没有在它第一次往跌停上靠拢时即使出局，还抱有幻想。昨天在20个点附近出局了。股灾面前 保命第一。后来下午它竟然拉到了我的成本线附近，简直气的人吐血。。。不过今天还是一个 ...展开全文c', '2018-06-21 03:30:59')
('再回过头看我早盘说的超频三 亚夏汽车 红宇新材很多人还在赌，这不是职业赌徒吗？但凡今天还在买的，全都是技已控几不住技已的', '2018-06-21 03:24:07')
('今天又是100股跌停板，22只涨停，大盘两个点的振幅，俨然一副老乡别走的架势，红宇新材天地板埋了很多人；亚夏汽车昨天追高的今天直接被闷杀；跃岭股份止步两连板；全天强势的名家汇和集泰股份尾盘开板，大概率明天被闷杀了；妇联继续大跌，高点跌下来已经40%的跌幅了，而且直奔破发而去；药明康德已经 ...展开全文c', '2018-06-21 03:21:21')
('布林线的22条黄金法则，熟背5次，你就是下一个牛股挖掘机$中国石化 sh600028$ $会畅通讯 sz300578$ $亚夏汽车 sz002607$ $宁德时代 sz300750$ 马旷盈的秒...', '2018-06-21 03:20:13')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 收盘，沪指今日冲高回落，收盘下跌逾1%，失守2900点关口，创业板指走势更弱，重挫近3%，再次的创了股灾以来的新低，特别是次新股的大幅杀跌，导致了创业板持续的破位，目前大盘都处于空头形态，大 ...展开全文c', '2018-06-21 03:07:08')
('沪指继续震荡走低，但低点还在，创业板连续创了几次新低，就推低了2个多点。也是空头也是强弩之末。如果强，在这样的不稳定情绪下，早就一根线快杀下去。现在却没有，说明什么，好好想想。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-21 03:00:31')
('阴包阳:专业术语，解读直白就是，弱势没有改变，就像一个病人这两天精神好了两天，还要卧床。散户一定要相信，底部不反弹，反弹不是底的市场规律。从来没什么救世主，你必须明白，保护自己的账户，就是仓位管理。@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $亚夏汽车 sz002607$', '2018-06-21 02:47:40')
('我们昨日早盘推荐的海川智能其实也还是挺棒的，昨日震荡拉升，今日继续反弹拉升1个点，虽然不多，但比起那些大跌的这已经很不错了，继续关注。@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $亚夏汽车 sz002607$', '2018-06-21 02:47:19')
('世界上最好的锂电池隔膜材料出自旭化成和东燃化学两家日本公司，而国内锂电池铝塑膜市场九成份额也被昭和电工等日本厂商垄断。你说这种贸易战怎么打，一掐你脖子就停摆#今日看盘# #华谊兄弟 sz300027[股票]# #中兴通讯 sz000063[股票]# #亚夏汽车 sz002607[股票]# #投资达人说 # @微博股票', '2018-06-21 02:44:17')
('$亚夏汽车 sz002607$ 去年12月最低价3。83，经过近半年运作，最高价达15。11元，涨幅之大是近期名副其实的妖股。近几天高位高换手，筹码已高度发散，并有在高位形成筹码峰之嫌。追涨者高位被套。。。', '2018-06-21 02:40:40')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 此处大家应该来点掌声，百度CDR概念股 路畅科技 002813 开始冲击涨停板，不过同时需要大家留意的是，一般千股跌停后一段时间内投资者的心理情绪都会比较悲观，交易也会压缩，这是最常见的心理恐惧 ...展开全文c', '2018-06-21 02:23:30')
('参与性很差，指数看起来ok，但是盘面有点无从下手。#今日复盘##今日看盘##股市直播# $上证指数 sh000001$ $红宇新材 sz300345$ #002607亚夏汽车#', '2018-06-21 02:17:02')
('芯片一波小反，没有撑住，三重底无效，做个四次回踩，科技股止跌，才能带动创业板指止跌。目前创业板指是跌幅最大的。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-21 02:14:58')
('昨日有朋友感觉被踏空，心里非常难受！现在来看，是不是没有那么难受了？我昨日分析了日内反弹为后面下跌提供杀跌动能，创板指数继续新低了。@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $亚夏汽车 sz002607$', '2018-06-21 01:55:51')
('创业板指数再破两年新低，这种行情，稍微跑得慢一点就是套子，与其乱动，不如以静制动。耐心等候止跌企稳机会。。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-21 01:49:28')
('弱势行情，大海潮起潮落，潮落了赶紧跑，因为月亮升起来，很容易，潮水把你从岸上重新来回海里。所以，散户要学会保护自己很简单，就是等待@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $亚夏汽车 sz002607$', '2018-06-21 01:49:02')
('分时低位钝化，带来一波小反，然后再探新低，分时低位背离明显，带来的反弹，还是不强，预计再次试探。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-21 01:45:18')
('昨日观望了一天，因为我预期今日空头还将反扑，早上直播里观点鲜明的指出了早盘释放了反弹动能，一旦衰竭空头将反压，如期兑现我的判断。昨日很多大长腿的个股今日都大跌，并且有相当大部分个股跌破了昨日低点继续创新低。@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $亚夏汽车 sz002607$', '2018-06-21 01:44:03')
('要说真正的看点，还得是尾盘,这波股灾5.0下来，我们的风险控制的已经不错了,这个时候就不用看哪个龙头有多牛了，要多正确认识市场,看看个股的真实情况，我们才知道要往哪个方向去操作!\ue627今日看盘 \ue627投资达人说 $亚夏汽车 sz002607$ $超频三 sz300647$ @微博股票', '2018-06-21 01:41:00')
('要说真正的看点，还得是尾盘,这波股灾5.0下来，我们的风险控制的已经不错了,这个时候就不用看哪个龙头有多牛了，要多正确认识市场,看看个股的真实情况，我们才知道要往哪个方向去操作!\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-21 01:40:14')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 中兴通讯连续六跌停，多基金公司再度下调估值，基金也在落井下石哦，那该股情绪就更恐慌了，大家注意到了没有，百度CDR概念股 路畅科技 002813 再次的疯狂启动，本周男神也多次的提醒了机会，有跟 ...展开全文c', '2018-06-21 01:31:33')
('创业板指午前弱，震荡走低，午后也是惯性下探，来到前低1525附近，出现5分钟的反弹，首次出现止跌看涨形态，有承接盘，但力度不强，回踩无量，预计破低做多重级别底背离后，会出现有力度的反弹。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-21 01:30:36')
('利空消息来袭：罗牛山，湖南盐业，新华锦，科大讯飞走势分析$建新股份 sz300107$ $亚夏汽车 sz002607$ $中兴通讯 sz000063$ $华谊兄弟 sz300027$ 马旷盈的秒...', '2018-06-21 01:29:45')
('现在市场的涨跌都是情绪为主导，想做把短线投机就应该在指数跳水跌下来后博弈，而不是等指数涨起来后再去追。@微博股票 #今日看盘# $亚夏汽车 sz002607$ #投资达人说 # $中兴通讯 sz000063$', '2018-06-21 01:26:31')
('值得一提的是，近期逆势走强龙头股超频三早盘快速封板，但临近午间收盘开板；另一人气龙头股$亚夏汽车 sz002607$ 大幅低开，盘中一度触及跌停，显示市场人气低迷。市场再度走弱，主要原因在于抄底资金获利回吐。经历前期大跌之后，当期市场一片风声鹤唳，市场信心明显不足，容易出现波动加剧的情况 ...展开全文c', '2018-06-21 01:26:04')
('富士康继续大跌奔跌停节奏，这货成为做空工具了都。不过，翔港科技午后表现很不错，逆势拉升4个多点，强！该股昨日还说到的，今日就继续拉升，万花丛中一点红的感觉！@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $亚夏汽车 sz002607$', '2018-06-21 01:23:32')
('目前还是保持耐心吧，市场依然弱势震荡中，没什么好的出手机会，等待尾盘了。不要盲目乐观，要不盲目悲观了，看2870点支撑了.\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-21 01:17:40')
('午后大盘再次拉锯下来，可以看出，市场功能资金谨慎依然明显，只不过今天的资金博弈已经没有前天那么大了，毕竟该恐慌的资金都在前天跑了，剩下的资金恐慌度有所减弱，这样的反复磨砺的过程，如果你没有提前准备心里也会很难以接受的。#新浪财经# \ue627 短线牛股 $亚夏汽车 sz002607$', '2018-06-21 01:16:44')
('$东方嘉盛 sz002889$ $超频三 sz300647$ $华自科技 sz300490$ $亚夏汽车 sz002607$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票午前强势股，涨停股，中报预增预盈，预高送：音飞储存、名家汇、温州宏丰、德艺文创、次新+，涨价+填全集泰股份三板、钢铁出厂价提升西宁特钢2板块，D3涨价新 ...展开全文c', '2018-06-21 01:13:45')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 下午好，股友们，吃完饭回来，继续给大家分析，早盘提前判断围绕创业板昨日的压力点反弹修复会结束，然后展开震荡反复拉锯，上午的走势总体是按照这个节奏进行的，弱势收盘，沪深创都没有突破压力 ...展开全文c', '2018-06-21 01:02:07')
('发布了头条文章：《亚夏汽车002607年报暴增2658％，18年有望乌鸡变凤凰》 $亚夏汽车 sz002607$ #财经头条文章# #微博股票热议榜# |亚夏汽车00...', '2018-06-21 00:38:55')
('今日强势股名家汇、集泰股份、猛狮科技，游资集体抱团炒，跃岭股份遭资金抛弃；亚夏汽车行情彻底结束，昨天欢乐哥也清仓逃跑；重组龙头红宇新材今天买的全部吃大面，本来想今天1/4仓位买点，昨晚很认真仔细研究实控人背后一堆P2P公司，早盘还高开9个多点，所以放弃了。前期主线高送转（填权+预期）仅 ...展开全文c', '2018-06-21 00:10:54')
('中信上海分公司这个席位，大名鼎鼎的柚子，居然靠做黑手分成来获利，真是丢人。把中信淮海中路做废了，目标是把上海分也做废。$亚夏汽车 sz002607$ ，配合欢乐海岸出货，利用大单小单进行翘板，吸引大小资金跟风。上海分在12.24位置买了，3000多万，今天砸跌停出货亏5%就够了，背面欢乐海岸给辛劳费。 ...展开全文c', '2018-06-21 00:08:01')
('收盘：今日冲高回落，正如我们担心那样，持续性的阴影始终未散去。无量反弹的结果，导致推高的难度非常大，行情继续重新走进颓势的恶性循环，这也是我们昨日没有盲目抄底的原因。当下行情，安全第一，暂时不要想去博利。你想去喝汤，人家倒吃你的肉。好了上午就这样了。看下午能否抗住轰炸。...展开全文c', '2018-06-20 23:51:26')
('年度黑马来袭？八一钢铁+亚夏汽车+工业富联+三一重工,$八一钢铁 sh600581$ $亚夏汽车 sz002607$ $工业富联 sh601138$ $三一重工 sh600031$ #个股推荐与走势分析# #短线牛股# #财经趣闻# 月落玩财经...', '2018-06-20 23:46:15')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 收盘，今天完全是大盘权重拉高，创业板题材被吸金了，创业板不爽，美股科技股暴涨，我们怎么如此弱，尾盘就疯狂杀了一波，把大盘也带下来了！特别是次新股大幅的杀跌，导致创业板再次的考验低点的 ...展开全文c', '2018-06-20 23:35:36')
('收盘：上午市场在以钢铁为首的周期板块带动下，出现了一波反扑走势，无奈没有太多资金跟进，午前出现了一波大幅跳水，创业板更是一度跌超1%，目前市场处于大病初愈状态，反攻为时尚早，修复震荡是主旋律，操作上一定避免追高，回落相对低位低吸布局为主，做差价来度过盘整震荡期。\ue627 今日看盘 ...展开全文c', '2018-06-20 23:35:12')
('今天完全是大盘权重拉高，创业板题材被吸金了，创业板不爽，美股科技股暴涨，我们怎么如此弱，刚刚就疯狂杀了一波，把大盘也带下来了！这就是市场大跌筑底阶段盘面经常会发生波动较大的局面，属于正常现象能者做T，时间精力有限者，继续等待稳健的操作机会！\ue627 今日看盘 \ue627 投资达人说 ...展开全文c', '2018-06-20 23:27:51')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 目前的行情，大家手中一定要留有相对充分的资金等待，不要在过程中盲目用出去，盘口前面也在解答问题中重点强调了昨日创业板1580点下方就是反弹修复空间结束点概率大，目前看基本得到确定了，大家 ...展开全文c', '2018-06-20 23:27:24')
('所以，流氓不可怕，就怕流氓有文化。这是个真理.往往市场出问题，都是自己的问题。任何事物的问题，都是内因的作用，这个已经千百年证明了。所以，市场大A股，不锻炼身体病是好不起来的.@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $亚夏汽车 sz002607$', '2018-06-20 23:16:05')
('创板指数今日跌下来后低吸更安全，早盘运行比较弱势，反弹动能基本在早盘就释放衰竭了，午后很容易遭遇空头反扑。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-20 23:06:50')
('即市场的的资金都是逐利的，每隔一段时间都会选择热点风口去操作，不然每天这些成交量都是来市场里送钱的吗？遂此次公布清单后国家反制，利好的方向有：农业、医疗器械、机车和煤炭能源化工四个方向。其中农业是老热点了，资金不大喜欢炒作，医疗器械和机车面比较窄，反而煤炭能源和化工更容易起行情， ...展开全文c', '2018-06-20 23:01:00')
('盘面上存在一个细节，热点很乱，创指很弱！ 这样的 反弹 ，恰巧给了 咱们昨天抄底 ，今天一个获利了解兑现的机会！创板指数一副跳水的相，昨日上涨的几家近端次新大跌，弱市行情下涨停板的溢价都不高，主力强的会好点，烂板次日基本都大跌。#今日看盘# #中兴通讯 sz000063[股票]# ...展开全文c', '2018-06-20 22:53:13')
('今天市场完全转为纯粹超跌形态了，拉煤炭，钢铁，然后像近端次新股福达合金也大幅杀跌，亚夏汽车也在跌停位置，三板的填权集泰股份这个明天可能也是直接闷杀，最好人气超频三全是凭着人气上来，给后面资金也不好接力，今天总体策略还是要回避高位的股票，不好做今天，多观察为妙。', '2018-06-20 22:52:05')
('创板指数一副跳水的相，昨日上涨的几家近端次新大跌，弱市行情下涨停板的溢价都不高，主力强的会好点，烂板次日基本都大跌。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-20 22:51:38')
('亚夏汽车昨天跌停板被撬开后拉到涨停，昨天就炸了，今天直接低开杀至地下室门口，这一波诱多+闷杀，短线客估计懵逼了，现在的盘面稍微有一点利润都着急撤', '2018-06-20 22:51:35')
('今天两只股票对人气打击很大，红宇新材15%大面，和昨天游资抄底的亚夏汽车跌停板。兵哥一直强调仓位三成，就是考虑到大盘目前只是反抽行情，还要继续探底', '2018-06-20 22:47:44')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 盘面走势十分的凌乱，东一榔头西一棒子，大家看雄安又动了，河北宣工、建科院、韩建河山、冀东装备 000856 等个股，目前盘面除了周期资源股外，没有暴热的题材，资金就会到处发动攻击，抄底自己看 ...展开全文c', '2018-06-20 22:43:07')
('钢铁，稀土开始暴力拉升，稀土逻辑多次提到了；现在就是等待了，市场必须有量能出现，才能够出现趋势性行情！弱势行情，保持仓位，保持耐心。是上策。@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $亚夏汽车 sz002607$', '2018-06-20 22:41:57')
('供给侧改革进入最后冲刺阶段，近期周期类的钢铁、煤炭表现相当强势。A股就是这么儿戏，当市场一片认为独角兽概念是机会时。主力却跑去炒老题材供给侧改革。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-20 22:40:08')
('昨晚长文点着鼻子提到亚夏汽车，今天低开六个点，即使你昨天跌停抢进去，今天都是没利润的，今天怎么走又得看大盘氛围…昨天的抢筹盘，特别是追高盘就是今天的割肉盘。', '2018-06-20 22:36:30')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 周期资源股今天比较强,它们是贸易战受益的方向,跟周末的关税清单有关,男神直播间重点提醒的两大龙头 盛和资源 600392 及五矿稀土等纷纷大阳的拉起，都有冲击涨停的欲望，这几天跟上节奏的股友，都 ...展开全文c', '2018-06-20 22:34:52')
('亚夏汽车002607 今天大跌6个点 很多朋友炒股 就往往容易陷入这样一个误区。反弹再走，真正反弹了，走早了又后悔。。倘若真的没有走，最后又是持续下跌比如 14.6的亚夏汽车，我们大家都走了，有的人没有走，那么掉到13块，给机会走，结果走完，又反弹到14块，这下子没有走的人就不走了，结果今天12块。 ...展开全文c', '2018-06-20 22:29:05')
('目前各大指数均处于空头压制状态，还没有走强，目前的反弹也仅仅被认为超跌反弹,即使操作也要保持仓位，切记追涨追高，市场需要一次二次探底才会攻击的更猛烈和强劲.\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-20 22:27:29')
('上证50上涨带动沪指走强，今日早盘创板指数最弱，一旦沪深指数回落创板指数还将加速，我们低吸有潜力的品种即可，坚决不追高。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-20 22:25:13')
('【盘中提示】大盘5日线下压了，第一次回抽5日线，都是建议减仓的，历来基本都是如此的，再度杀跌跳水，再接，才会安全，所以，个股拉高不应该去追了。逢高继续减点仓位。【个股建议】002607 亚夏汽车 跌停附近 激进的朋友可以低吸部分！', '2018-06-20 22:24:45')
('高位个股，风险仍极大，不要碰超频3，昨日撬板底部成交1.7亿左右，获利20%以上，形成巨大抛压亚夏汽车，欢乐已开始清仓，昨日走势竞价势必会低开被按，趋势已坏红宇新材，超预期上涨，但再涨特停，一特停5天，谁敢玩？ ...展开全文c', '2018-06-20 22:22:47')
('开盘半小时股指反弹力度较弱，虽然目前上涨个股多于下跌，但多数无量回抽持续性较差，指数还有探底的需求。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-20 22:16:12')
('市场个股情况,2000家上涨，1100家下跌,封板24，开板5，情绪在逐渐转暖,跌停板上现在多数都是股权质押平仓的问题股居多,盘面热度在恢复！\ue627 今日看盘\ue627 投资达人说#亚夏汽车 sz002607[股票]##超频三 sz300647[股票]# @微博股票', '2018-06-20 22:12:22')
('钢铁侠，开始启动了，暴动的十分厉害，毕竟是一股非常厉害的力量，未来一段时间内，背后的逻辑还是中报预期，库存量也是在不断的减少，冲吧，最好来个涨停才好。弱势行情，散户要记住，不出妖王，行情起不来！@微博股票 #今日看盘# $亚夏汽车 sz002607$ #投资达人说 # $中兴通讯 sz000063$', '2018-06-20 22:11:49')
('昨日大涨的票开盘出现了大跌，昨日的超跌技术反弹依旧是情绪性主导，个股没什么上涨逻辑，就是跌多了涨一下，继续观察盘面情况。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-20 22:01:14')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 对于市场虽然短期市场功能情绪还没法直接恢复，但是投资在现阶段如果都没有信心，那么后期你根本没法走出来，虽然前天暴跌破坏了短期技术走势，但是底部周期始终存在。男神不建议短期修复反弹中去 ...展开全文c', '2018-06-20 21:54:34')
('$东方嘉盛 sz002889$ $超频三 sz300647$ $华自科技 sz300490$ $亚夏汽车 sz002607$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票盘前金股之一（300745欣锐科技）开盘低开三个点左右，目前下跌四个点，符合老张低位潜伏的预期，朋友们可以逢低三成资金低吸布局潜伏好！', '2018-06-20 21:53:34')
('国常会将定调“放水”维稳市场，按理说，这是利好性质，但我大A股似乎并不“感冒”今天并没有出现高开行情，反而低开。。丧失的信心，不是你一两个利好就能修复的。大部份股民还陷在恐慌情绪中，基本不敢乱下手。所以行情也会受这种情绪波动，变得反反复复起来.\ue627 今日看盘 \ue627 投资达人说 ...展开全文c', '2018-06-20 21:45:48')
('#投资达人说# #今日看盘# @微博股票 $亚夏汽车 sz002607$ $京东方Ａ sz000725$ 在近期的行情中有两点需要注意思路一定要清晰：1、虽然短期市场并没有在资金面上爆发多大的动力，但是短期反弹修复昨日分析了还未结束。2、即便短期反弹修复后还有反复，但是也依然是底部的反复磨 ...展开全文c', '2018-06-20 21:42:51')
('开盘情况，各大指数今天开盘涨跌不一，不过，宁德时代今天的虚拟成交量很大，估计会有开板要求，短线注意一下该股吸金风险，不易盲目追涨参与。\ue627 今日看盘 \ue627 投资达人说 #亚夏汽车 sz002607[股票]# #超频三 sz300647[股票]# @微博股票', '2018-06-20 21:39:19')
('大盘观点，高开低走。个股方面：药明康德昨天就点过了，如果操作有小肉，有货的可以继续持有，滚动差价4点，没货的可以介入，但只有小肉，随便玩玩而已超频三，昨天拿到天地板，继续锁仓，大概率被情绪顶到一字板。昨天抄地板的亚夏汽车，是做T行为，高点昨天已经T出前天被套仓位，剩余地板介入的仓 ...展开全文c', '2018-06-20 21:37:31')
('开盘11家涨停33家跌停，个股低开居多，昨天股指缩量弱反还不属于普涨格局，今日分化走势趋势差的继续下行，观察盘中数据。冲高关注5日线压力，指数偏弱，按照操作策略做！@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $亚夏汽车 sz002607$', '2018-06-20 21:36:03')
('集合竞价情况上来看，全线低开，虽然跌停板家数依然不少，但是基本都是一些垃圾股，很多个股近期暴雷，自然会有很多的跌停板个股，今天重点看的是能不能有积极的盘面信号出现。\ue627 今日看盘\ue627 投资达人说#亚夏汽车 sz002607[股票]##超频三 sz300647[股票]# @微博股票', '2018-06-20 21:35:53')
('盘前心水潜力股：#新余国科 sz300722[股票]# 次新+军民融合概念，该股昨日涨停站稳60日线，短期趋势上看向上延伸有望，择机跟踪关注一下。\ue627 今日看盘\ue627 投资达人说#亚夏汽车 sz002607[股票]##超频三 sz300647[股票]# @微博股票', '2018-06-20 21:28:49')
('盘前心水潜力股：#振静股份 sh603477[股票]# 次新，日线从5月3号开始上涨，每次回调低点重心都抬高，近一周表现明显抗跌强于股指，量能持续放大，短线已经走强，适合回档后低吸介入。\ue627 今日看盘\ue627 投资达人说#亚夏汽车 sz002607[股票]##超频三 sz300647[股票]# @微博股票', '2018-06-20 21:27:50')
('$亚夏汽车 sz002607$ 的竞价有点惨，看一会会不会起来。个阶段，除了大股，其他品种我觉得安全边际都很低。如果国家要护盘，肯定去拉大股。如果市场继续恶化，大股肯定比小股更稳定', '2018-06-20 21:26:20')
