('股市唯一不“骗人”的指标——“CCI”，句句经典，建议散户收藏 $新经典 sh603096$ $深南电A sz000037$ $步步高 sz002251$ $京威股份 sz002662$ 马旷盈的秒...', '2018-07-24 12:13:13')
('$京威股份 sz002662$ 公告，公司于2018年4月27日收到股东中环投资告知函，中环投资拟以部分要约收购方式增持公司股份。5月24日公司收到中环投资的通知，鉴于资本市场和二级市场环境的变化，中环投资经慎重研究，认为目前继续推进要约收购事项的时机不成熟，故决定终止筹划部分要约收购公司股票的相关 ...展开全文c', '2018-05-24 21:18:13')
('京威股份(4.810,0.02,0.42%)：中环投资终止筹划部分要约收购公司股票京威股份（002662）5月24日晚公告，公司于4月27日收到股东中环投资告知函，中环投资拟以部分要约收购方式增持公司股份。5月24日，公司收到中环投资的通知，鉴于资本市场和二级市场环境的变化，中环投资认为目前继续推进要约收 ...展开全文c', '2018-05-24 09:33:23')
('道森股份：股票核查完毕 明日复牌山河药辅：股东及多名高管拟合计减持不超7.54%股份金盾股份：公安机关鉴定公司的公章、财务专用章等均被伪造南风股份：实控人杨子善所持7%股份被司法冻结 目前仍无法与其取得联系京威股份：中环投资终止筹划部分要约收购公司股票洪城水业：控股股东完成增持计划 ...展开全文c', '2018-05-24 09:28:31')
('<span style="color:red">【利空公告】辉丰股份(002496)：环保部门撤销公司两项目的环评批复 一个项目已投入资金8287 万元京威股份(002662)：中环投资终止筹划部分 ...网页链接', '2018-05-24 09:09:55')
('？//@磨难历练似金：龚福根：京威股份（002662）的第三大股东，宁波福尔达公司老板。资产超20亿！这十几年总是给戴龙军送礼，好几次我都亲眼所见。每次价值几万！2016年送礼暴发性增加！同年9月13日送了重礼。当时龚福根在中级法院有近两亿元的官司缠身，还涉及到他偷逃上亿税款。 评论配图', '2018-05-23 05:34:26')
('实名举报“变“举报公告”，举报人的安全何在？实名举报真是高风险的事！在政商环境相对清澈的浙江尚且如此，可以想象其他地方的环境！近日轰动网络的台州民警（堡垒从内部攻破）举报上司“反而被抓”一事，也许正在宁波重演。本人日前向国家信访局等部门实名举报宁波市中级人民法院常务副院长戴 ...展开全文c', '2018-05-23 12:02:26')
('发布了头条文章：《本周A股走势预测：电光科技+韩建河山+京威股份》 |本周A股走...', '2018-05-23 03:07:38')
('与正道分手后抛售造车股权 京威股份陷“钱荒”变现求生？(同步自@新浪看点)|与正道分手...', '2018-05-20 23:17:35')
('近日，$京威股份 sz002662$ 因终止重大资产重组不及时发布信息告知公众违反深交所规定收到深交所监管函。而这一重大资产重组是指京威股份收购江苏卡威议案搁浅。今年2月，京威股份宣布，正在筹划以30亿元的价格收购江苏卡威剩余的65%股权，收购完成后，江苏卡威将成为京威股份的全资子公司。为此，京 ...展开全文c', '2018-05-19 04:33:58')
('图省事不上心粘来监管函 京威股份董秘愧对百万年薪复制公告内容成习惯，京威股份5月15日被深交所出具了监管函，原因则是因为公司明明4月26日就董事会决议终止了重大资产重组，但是4月26日晚间发布的进展公告中却仍旧用模板的形式进行公告称，“各中介机构对标的公司的尽职调查等工作正在有序进行中 ...展开全文c', '2018-05-17 19:50:49')
('发布了头条文章：《道明光学 勤上股份 京威股份 奥马电器：推波助澜，继续领跑？！》 $道明光学 sz002632$ $勤上股份 sz002638$ $京威股份 sz002662$ $奥马电器 sz002668$ $上证指数 sh000001$ |道明光学 ...', '2018-05-15 10:39:22')
('京威股份(002662) 拟转让三家子公司股权，评估值超28亿。证通电子（002197）公司与华为就IDC及云计算领域的合作签署了框架性协议。海兰信(300065)公司产品已应用到包括“辽宁舰”、首艘国产航母在内的各类舰船上。数据港(603881)公司收到阿里巴巴多个需求意向函，阿里巴巴意向与公司在国内合作建设Z ...展开全文c', '2018-05-14 21:56:31')
('#e公司快讯# 【京威股份：拟转让三家子公司股权 评估值超28亿】e公司讯，京威股份(002662)14日晚公告，公司2014年发行股份购买了宁波福尔达智能科技有限公司100%股权、上海福宇龙汽车科技有限公司100%股权、上海福太隆汽车电子科技有限公司54.4%股权。根据公司股东福尔达投资控股的回购意愿及公司发展 ...展开全文c', '2018-05-14 09:23:36')
('#京威股份 sz002662[股票]# ：终止重组复牌跌停，近期下跌趋势中，目前没有止跌，短期表现较差，没有的话建议观望', '2018-05-13 22:24:32')
('个股利空：南风股份：董事长或冒用公司名义借款3.8亿元；京威股份终止非公开发行股票事项；锦富技术终止推进本次重大资产重组事项；吉华集团子公司因环保整治临时停产；雅本化学子公司建农植保临时停产；南化工：盾安控股质押3940万股公司股份用于融资；能科技、康斯特、雷曼股份、创意信息、百川股份 ...展开全文c', '2018-05-13 21:25:26')
('中航地产（000043）拟更名为中航善达京威股份（002662）终止非公开发行股票卫士通（002268）控股股东与阿里云战略合作光线传媒(300251)入股周迅持股公司大千阳光象屿股份（600057）5月17日起证券简称变更为“厦门象屿”网达软件（603189）澄清与抖音、快手不存在业务合作关系利群股份（601366） ...展开全文c', '2018-05-13 21:15:37')
('京威股份：公司向证监会提交了撤回定增申报材料的申请，并于今日收到证监会行政许可申请终止审查通知书。本次定增事项终止。', '2018-05-11 07:40:40')
('【今年以来68家公司再融资折戟 五公司未获发审委通过】据Wind统计，今年以来已有68家公司再融资折戟，其中金健米业、长城影视、骅威文化、国旅联合、浙富控股未获发审委审核通过，京威股份未获股东大会审核通过。研究机构认为，自创业板和主板发审委合并的 “大发审委”成立以来，（IPO及再融资）通过 ...展开全文c', '2018-05-11 03:33:03')
('【“买壳”造车协议神秘作废背后 京威股份30亿元收购“肥皂泡”破灭】5月8日，工信部发布《特别公示车辆生产企业（第3批）》，宣布根据汽车行业退出机制，共计66家机动车企进入为期两年的退市公示期。值得关注的是，与4月9日中机车辆技术服务中心发布的尚未上报工信部审批的名单相比，乘用车企业由7家 ...展开全文c', '2018-05-11 00:30:03')
('发布了头条文章：《下周关键走势揭秘：桂发祥 京威股份 奥马电器 兴业科技》 $桂发祥 sz002820$ $京威股份 sz002662$ $奥马电器 sz002668$ $兴业科技 sz002674$ |下周关键走...', '2018-05-10 23:32:02')
('#京威股份 sz002662[股票]# 为什么可以说倒下就倒下，一个做汽车内饰的，难道这么没有核心竞争力？', '2018-05-09 02:34:57')
('【部分要约收购概念】1、钱江水利；2、宁波中百；3、汇源通信；4、京威股份。', '2018-05-07 00:58:43')
('发布了头条文章：《重磅消息：京威股份+德尔未来+新华文轩，五月详细操作策略》 $京威股份 sz002662$ +$德尔未来 sz002631$ +$新华文轩 sh601811$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-05-03 04:00:07')
('京威股份，溢价56.5%.部分要约收购，大盘走稳后，机会大于风险。', '2018-05-02 23:21:58')
('发布了头条文章：《002662 京威股份：主力走势令人深思，散户后期将如何面对？》 #财经头条文章# #股票分析# $京威股份 sz002662$ |002662 京...', '2018-05-02 05:08:06')
('$京威股份 sz002662$ 周期大幅回落。', '2018-05-02 03:09:48')
('发布了头条文章：《节后精准走势解析：新安股份 京威股份 风华高科 赛象科技》 #头条文章# #上证快讯# #新浪理财师# #新浪股吧# $新安股份 sh600596$ $京威股份 sz002662$ $风华高科 sz000636$ $赛象科技 sz002337$ |节后精准走...', '2018-05-02 02:17:41')
('【要约收购】002662京威股份，拟部分要约收购，5%，要约价8元。', '2018-05-01 23:19:36')
('节前最后一天，大批上市公司披露年报，今天早盘多股低开低走跌停，另有多只复牌票跌停，目前共有京威股份、飞力达、睿康股份、西水股份等20只跌停。本月大家注意的雷区包括解禁，5月是2018年解禁数量第二大月，商誉减值等，A股商誉规模11544亿！', '2018-05-01 23:03:55')
('$京威股份 sz002662$ （002662）股东中环投资拟8元/股以部分要约收购方式增持公司股份7500万股，占总股本5%', '2018-05-01 21:26:40')
('停复牌>>>停牌：康达尔（000048）、*ST华泽、东凌国际（000893）、*ST众和（002070）、三六零（601360）、*ST上普（600680）、美都能源（600175）、江中药业（600750）复牌：飞力达（300240）、鲍斯股份（300441）、五洲新春（603667）、京威股份、睿康股份（002692）、文化长城、克明面 ...展开全文c', '2018-05-01 21:25:13')
('复牌中国软件（600536）、神州高铁（000008）、冀东水泥（000401）、东华能源（002221）、融钰集团（002622）、克明面业（002661）、京威股份（002662）、文化长城（300089）、达刚路机（300103）、飞力达（300240）、邦讯技术（300312）、华仪电气（600290）、方盛制药（603998）、雷科防务（002413 ...展开全文c', '2018-05-01 21:22:31')
('【停/复牌、解禁股数据】复牌个股：神州高铁、冀东水泥、东华能源、雷科防务、融钰集团、克明面业、京威股份、睿康股份、文化长城、达刚路机、宝利国际、飞力达、邦讯技术、银邦股份、鲍斯股份、华仪电气、中国软件、五洲新春、方盛制药停牌个股：康达尔、*ST华泽、东凌国际、*ST众和、ST尤夫、千山 ...展开全文c', '2018-05-01 21:01:21')
('#投资达人说# #今日看盘# @微博股票 $格力电器 sz000651$ $中兴通讯 sz000063$ 复牌个股：冀东水泥、中国软件、华仪电气、神州高铁、融钰集团、方盛制药、文化长城、东华能源、达刚路机、飞力达、邦讯技术、京威股份。限售股解禁：亚泰集团、江淮汽车、焦作万方、华联股份、 ...展开全文c', '2018-05-01 20:43:57')
('#股海人生# $上证指数 sh000001$京威股份：终止筹划重大资产重组 股票复牌。京威股份(002662)5月1日晚间公告，公司原拟发行股份购买江苏卡威剩余65%的股权以实现全资控股。经公司与标的公司反复沟通与磋商，交易双方在业绩承诺方面未达成一致。公司决定终止筹划本次重组事项。公司股票将 ...展开全文c', '2018-05-01 06:53:47')
('【正道集团造车进展不明 京威股份低调退出】正道集团CEO称，正道集团已完成基于同一平台的12款产品规划。但造车具体进展仍处迷雾之中，他们对造车资本来源、核心技术水平和团队搭建等信息一直不做介绍。此前，京威股份公告称，退出与正道汽车合作的电池项目及新能源汽车项目 |正道集团造...', '2018-04-26 18:33:35')
('#小六论股# 一汽夏利的巨亏拉开了汽车行业步入困境的序幕。除了一汽夏利每股亏损巨大以外，风神股份，海马汽车，西部资源，申华控股，安凯客车，恒立实业，京威股份，黔轮胎A，湖南天雁，浙江世宝等涉及汽车销售经营的企业均出现亏损。', '2018-04-25 02:29:34')
('个股利空：京威股份 002662 、哈空调、长高集团、青龙管业、大港股份、顺威股份、中航三鑫、融捷股份中报预亏；海能达、贤丰控股、光启技术、春兴精工、圣阳股份、卫星石化、大连电瓷、欣天科技、通达动力、三圣股份、正丹股份、铭普光磁、快意电梯、金新农、孚日股份、北化股份、丽鹏股份、远大智能、 ...展开全文c', '2018-04-23 21:25:27')
('#投资达人说# #今日看盘# @微博股票 $中兴通讯 sz000063$ $国民技术 sz300077$ 利空：京威股份、哈空调、长高集团、青龙管业、大港股份、顺威股份、中航三鑫、融捷股份中报预亏；海能达、贤丰控股、光启技术、春兴精工、圣阳股份、卫星石化、大连电瓷、欣天科技、通达动力、三圣股份、正丹 ...展开全文c', '2018-04-23 20:39:34')
('发布了头条文章：《短期内还将这样走：丰乐种业+银邦股份+名家汇+京威股份》 $丰乐种业 sz000713$ $银邦股份 sz300337$ $名家汇 sz300506$ $京威股份 sz002662$ #大盘# |短期内还将...', '2018-04-22 03:57:09')
('【绘话汽车】京威股份与正道集团在新能源汽车上分道扬镳。宁波的电池和整车项合作曾是京威股份布局新能源汽车产业链的重要部分，对于为何在合作协议签署一年后选择成本价卖股、全面退出，京威方面并未给出解释……', '2018-04-21 00:25:15')
('$畅联股份 sh603648$ $京威股份 sz002662$ $华鲁恒升 sh600426$ 发布了头条文章：《股价高位巨震，主力有大动作：畅联股份 京威股份 华鲁恒升》 #大盘~股市~股票~证券~中线~短线# #阿里收购中天微# |股价高位巨...', '2018-04-20 06:15:42')
('【与正道分手抛售新能源股权 京威股份陷“钱荒”紧急变现求生？】 2018年4月18日，京威股份（北京威卡威汽车零部件股份有限公司的上市实体）发布“关于转让宁波电池项目及宁波整车项目公司股权的进展”的公告，称已于4月16日与北京致云资产管理有限公司（简称北京致云）和上海弘吾企业管理咨询有限公司 ...展开全文c', '2018-04-19 05:30:03')
('海南板块第一龙头被无视，季度业绩暴增220倍，4月走势直追盘龙药$道道全 sz002852$ $香雪制药 sz300147$ $京威股份 sz002662$ #2018五险一金新变化# 颂娟评股的...', '2018-04-16 08:05:50')
('【剥离宁波京威股权 京威股份“快进快出”动力电池？】涉足动力电池仅仅1年时间，京威股份便萌生了退意。公司4月13日晚间公告称，拟转让持有的宁波京威动力电池有限公司等公司股权。《每日经济新闻》记者注意到，宁波京威为京威股份动力电池产业的载体，对于志在发展新能源汽车的京威股份而言，此番剥 ...展开全文c', '2018-04-14 09:48:23')
('『剥离宁波京威股权 京威股份“快进快出”动力电池？ | 每经App』|剥离宁波京...', '2018-04-13 11:46:04')
('【融资方案遭股东大会否决后 京威股份拟缩减分红规模】数日前，《每日经济新闻》报道了京威股份融资方案未能通过股东大会事件。|前两大股东...中环投资提出了新的利润分配方案，该分配方案为：以截至2017年12月31日总股本15亿股为基准，向全体股东每10股派发现金股利0.64元（含税），共分配现金股 ...展开全文c', '2018-04-10 02:24:24')
('#家家新闻#【京威股份拟投资160亿建新能源整车基地】由铝合金零部件起家的北京威卡威汽车零部件股份有限公司（简称“京威股份”），从2015年开始不断发起对新能源汽车领域的大额投入。尽管收效尚不明显，但其投资扩产积极性依然未减。3月15日晚间，京威股份（002662.SZ）发布公告称，公司拟在秦皇岛经 ...展开全文c', '2018-03-17 02:41:23')
('【3月16日早间新闻精选】1、中国联通2017年盈利4.26亿，同比增长176%。2、寒锐钴业三位股东拟减持不超7%股份。3、天华超净、万兴科技停牌核查完毕，股票复牌。4、葵花药业年报拟10转10派10元；东阿阿胶去年净利逾20亿元，拟10派9元。5、京威股份拟在秦皇岛投建新能源整车基地项目，总投资约160亿 ...展开全文c', '2018-03-15 21:11:42')
('【新闻-新能源汽车】京威股份拟在秦皇岛投建新能源整车基地项目，总投资约160亿元', '2018-03-15 21:04:34')
('志邦股份：子公司拟斥资10亿元投建法兰菲180新厂项目易华录：参股设立广东大数据交易中心京威股份：在秦皇岛投建新能源整车基地项目投资约160亿', '2018-03-15 20:43:48')
('公司利好京威股份：拟在秦皇岛投建新能源整车基地项目总投资约160亿元。深南股份：拟1.28亿元控股大数据公司铭诚科技。志邦股份：子公司拟斥资10亿元投建法兰菲180新厂项目。 ...展开全文c', '2018-03-15 10:27:50')
('3.15【晚间公告精选】乐视网：明日复牌，无引入投资者增资方案及意向；神雾集团：引入战投近期将取得实质进展，已有大型国企完成尽职调查；长安汽车：控股股东所持21.56%股份无偿划转给兵器装备集团； ...展开全文c', '2018-03-15 09:55:58')
('【公告精选】3月15日晚，多家上市公司发布公告。乐视网称未形成任何引入投资者增资方案及意向，持股5%以上股东无减持计划，股票明起复牌；中国联通年报净利增176%，拟10派0.204元；金枫酒业即将上调部分产品价格；京威股份拟在秦皇岛投建总投资约160亿元的新能源整车基地项目等。|公告精选：...', '2018-03-15 09:31:53')
('【京威股份：拟在秦皇岛投建新能源整车基地项目 总投资约160亿元】京威股份(002662)3月15日晚间公告，公司董事会同意公司在秦皇岛经济技术开发区投资建设一...|【京威股份...', '2018-03-15 08:16:30')
('实时播报：【京威股份：拟在秦皇岛投建新能源整车基地项目 总投资约160亿元】京威股份(002662)3月15日晚间公告，公司董事会同意公司在秦皇岛经济技术开发区投资建设一个年产30万台高端新能源整车生产基地，公司将以自筹资金设全资子公司德龙汽车实施本项目。项目规划总投资约160亿元，其中整车项目投资 ...展开全文c', '2018-03-15 07:22:19')
('天宫院作为北京近郊区的一个小镇，近年来发展很快。图一是新源大街街景，图二是深交所上市公司京威股份。该公司2017年营业收入56.88亿元。@北京大兴 #北京身边事##经济新常态# |北京·中国...', '2018-03-09 21:08:51')
('2.22【年报业绩】三变科技：2017年亏损1.19亿元浙江美大：2017年净利润同比增长50.61%中化岩土：2017年实现净利润2.34亿 同比下降5.86% ...展开全文c', '2018-02-21 20:00:14')
('艾格拉斯 三垒股份 融钰集团 民盛金科 $艾格拉斯 sz002619$ $三垒股份 sz002621$ $融钰集团 sz002622$ $民盛金科 sz002647$ #摩登大道 sz002656[股票]# 《克明面业京威股份普邦股份！猛狮科技睿康股份顾地科技美盛文化！欧浦智网金一文化一心堂中矿资源！ST龙力大连电瓷亚夏汽车捷顺科技欧菲科技》 ...展开全文c', '2018-02-13 09:00:04')
('海能达 星星科技 哈尔斯 威海广泰 $海能达 sz002583$ $星星科技 sz300256$ $哈尔斯 sz002615$ $威海广泰 sz002111$ #华闻传媒 sz000793[股票]# 《媒大连电瓷京威股份盐湖股份！弘信电子厦门信达清新环境智云股份！创兴资源天润数娱益生股份闻泰科技！西藏旅游英可瑞双环科技神雾节能！津膜科技》 ...展开全文c', '2018-02-10 07:00:03')
('大唐电信.天华院.西藏旅游.创兴资源.信雅达.福日电子.中孚实业.览海投资.安源煤业.湖北宜化.神雾环保.金运激光.金一文化.津膜科技.凤形股份.联合光电.双环科技.安凯客车.天际股份.神雾节能.国科微.华英农业.英可瑞.上海钢联.益生股份.天润数娱.清新环境.智云股份.盐湖股份.京威股份.大连电瓷.华闻传媒 ...展开全文c', '2018-02-08 08:53:58')
('【股价大跌引发密集停牌 7天145家A股公司停牌】对于停牌的理由，包括赛天福、天润数娱、京威股份等35家公司表示，有重要事项未公告；而包括国际医学、德豪润达、外运发展等53家公司给出的理由是拟筹划重大资产重组；另外，有121家公司停牌理由是刊登重要公告，仅有海虹控股停牌理由是交易异常波动。 ...展开全文c', '2018-02-08 02:30:03')
('京威股份:关于筹划重大事项的停牌公告_京威股份(002662)股吧_东方财富网股吧', '2018-02-02 08:55:37')
('现在想想昨天跌停晚上就停牌的上市公司，还算有些良知的，比起gjd强多了：$天润数娱 sz002113$ ，$华英农业 sz002321$ ，$华闻传媒 sz000793$ 和$京威股份 sz002662$ 等！', '2018-01-31 21:55:24')
('【年报大增】东阳光科、铜陵有色、花园生物；【年报扭亏】海源机械、*ST柳化；【年报预亏】东北电气、大富科技、九安医疗；【年报预降】大连友谊、云煤能源、京能电力、奥瑞德、百花村、浙商证券；【今日停牌】天润数娱、劲胜智能、博天环境、华闻传媒、京威股份、华英农业、华仁药业、三维股份、 ...展开全文c', '2018-01-31 20:21:53')
('复牌：云铝股份、云南铜业、南兴装备、金盾股份、赤天化、中昌数据、驰宏锌锗、老白干酒、爱建集团、豫园股份、S*ST前锋。停牌：天夏智慧、大连电瓷、华闻传媒、天润数娱、华英农业、京威股份、劲胜智能、华仁药业、三维股份、博天环境、岱美股份。', '2018-01-31 20:21:19')
('2.01【停复牌】停牌：华仁药业、劲胜智能、京威股份、大连电瓷、天润数娱、华闻传媒、岱美股份博天环境：筹划对外投资 停牌华英农业:因重大事项停牌 ...展开全文c', '2018-01-31 20:07:07')
('#今日复盘# 重要消息简讯英国首相 访华 武汉第一站 ，江疏影陪同中核与中核建实施重组中兴通讯：拟定增募资不超130亿元发展5G及补血 ...展开全文c', '2018-01-31 09:47:55')
('【信息扫雷】金盾股份董事长周建灿意外逝世 不存在40亿入股乐视网的情况；中兴通讯拟定增募资不超130亿元；闪崩股天润数娱、华英农业、华闻传媒、京威股份、劲胜智能等停牌；大连电瓷、天夏智慧控股股东质押股份触及平仓线停牌；S*ST前锋修订股改方案并复牌；华仁药业停牌配股；星云股份拟10转10派1元 ...展开全文c', '2018-01-31 08:08:17')
('#财经# 京威股份从12跌落至6元', '2018-01-31 07:37:06')
('实时播报：京威股份：正在筹划重大事项，该事项可能涉及重大资产购买，股票停牌。', '2018-01-31 05:08:47')
('方大炭素，阿石创，京威股份，星星科技，斯太尔，有问题说出来，在尾盘前帮你看看。$方大炭素 sh600516$ $阿石创 sz300706$ $斯太尔 sz000760$ $京威股份 sz002662$ 。', '2018-01-31 00:55:06')
('发布了头条文章：《主力意欲何为:京威股份 威海广泰 华闻传媒 智云股份》 #上证快讯# #头条文章# #新浪股吧# #新浪看点# $京威股份 sz002662$ $威海广泰 sz002111$ $华闻传媒 sz000793$ $智云股份 sz300097$ |主力意欲何...', '2018-01-30 22:56:06')
('大幅预降：游久游戏、太平洋、雄韬股份、宝胜股份、新五丰、亿晶光电、金证股份、富控互动、时代新材、金盾股份、栖霞建设、神州泰岳、华闻传媒、哈药股份、正海磁材、京威股份、宝新能源、华电国际、华能国际、新乡化纤、庞大集团、美菱电器、江淮汽车、奥瑞德等。', '2018-01-30 21:14:42')
('公告淘金：成都路桥：控制权拟发生变更 宏义嘉华将成新控股股东；华谊兄弟：目前公司来源于《前任3》的营收区间为4.5亿至5.5亿；京威股份：拟公开发行不超20亿元公司债 用于新能源汽车产业投资等；搜于特：拟25亿投建时尚产业供应链管理中心项目；汉商集团：共2565万股股份接受要约收购；银河生物继续 ...展开全文c', '2018-01-15 20:18:34')
('华录百纳：控股股东及实控人或变更；拓邦股份：中标2.1亿元中国移动项目；京威股份：拟公开发行不超20亿元公司债 用于新能源汽车产业投资等；成都路桥：控制权拟发生变更 宏义嘉华将成新控股股东；药石科技：赵建光及一致行动人持股比例由4.69%增加为5.09%；顺络电子：董事长及高管计划未来6个月 ...展开全文c', '2018-01-15 19:56:39')
('【京威股份：拟公开发行不超20亿元公司债 用于新能源汽车产业投资等】京威股份公告，公司拟公开发行不超20亿元公司债，债券期限不超5年，募集资金拟用于新能源汽车产业投资、补充流动资金、偿还银行借款和偿还公司债券。', '2018-01-15 04:26:26')
('锂电池板块小异动，西部资源，兆新股份、京威股份等出现小异动拉升。整体看，力度不如稀土永磁板块强。这个时候什么异动，都不要盲目。$上证指数 sh000001$ #今日看盘#', '2018-01-09 01:56:47')
('发布了头条文章：《京威股份002662： 最新利好爆料，年报大增，机构怒砸580亿增持，后市》 $京威股份 sz002662$ #股票分析# #财经头条文章# |京威股份00...', '2018-01-08 22:03:44')
('发布了头条文章：《主力蕴藏大阴谋：永安行 京威股份 珀莱雅 京华激光》 |主力蕴藏大...', '2017-12-30 01:38:51')
