('V+两只\ue627 短线牛股 $飞荣达 sz300602$ $纵横通信 sh603602$ 的上涨逻辑详解，品型战法，与龙虎榜的实战应用，欢迎大家参考，学习，顺手点赞！ 宇辉战舰的...', '2018-07-16 22:58:44')
('大盘虽然反弹，但是个股走势很弱，文灿股份，爱婴室，科创新源，天华超净，绿色动力，长盛轴承，智动力，纵横通信，天邑股份等等涨停开板，炸板率很高，说明游资参与意愿不强，避险情绪较重！', '2018-07-11 22:34:12')
('【中兴通讯A股开盘涨停，5G概念股集体大涨】今日早间，港股中兴通讯开盘涨14.90%，A股中兴通讯开盘涨停，报13.31元，盘前成交1.43亿元，107万手买单封板。截至发稿，中兴通讯H股盘初涨幅扩大至20%。受中兴通讯涨停带动，5G和通信设备板块大涨，意华股份、天邑股份、太辰光、纵横通信、鼎信通讯、新易盛 ...展开全文c', '2018-07-11 22:16:09')
('早盘，5G概念强势表现，其中中兴通讯、意华股份、太辰光、纵横通信、新易盛等涨停。消息面上，美国商务部表示，美国已经与中国中兴公司签署协议，取消制裁。网页链接', '2018-07-11 21:59:03')
('珠海港(000507)琼民源A(000508)华塑控股(000509)金路集团\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# #东方环宇 sh603706[股票]# #太辰光 sz300570[股票]# #纵横通信 sh603602[股票]# #天成自控 sh603085[股票]# #至纯科技 sh603690[股票]# #芯能科技 sh603105[股票]# #浩物股份 sz000757[股票]# #融钰集团 sz002622[股票]# 上官诚论股...收起全文d', '2018-07-11 21:53:06')
('国新健康(000503)南华生物(000504)京粮控股(000505)中润资源\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:51:36')
('晨鸣纸业(000488)山东路桥(000498)鄂武商A(000501)绿景控股\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:51:00')
('南京公用(000421)*ST宜化(000422)东阿阿胶(000423)徐工机械\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:50:20')
('合肥百货(000417)小天鹅A(000418)通程控股(000419)吉林化纤\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:50:00')
('ST五环(000412)东旭光电(000413)渤海金控(000415)民生控股\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:49:39')
('藏格控股(000408)*ST地矿(000409)沈阳机床(000410)英特集团\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:49:38')
('5G板块开盘大涨，意华股份、纵横通信、太辰光涨停网页链接', '2018-07-11 21:49:06')
('华意压缩(000404)ST鑫光(000405)石油大明(000406)胜利股份\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:47:56')
('许继电气(000400)冀东水泥(000401)金融街(000402)ST生化\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:46:38')
('申万宏源(000166)东方市场(000301)美的集团(000333)潍柴动力\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:46:09')
('华数传媒(000156)中联重科(000157)常山北明(000158)国际实业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:45:49')
('宜华健康(000150)中成股份(000151)丰原药业(000153)川化股份\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:45:45')
('天健集团(000090)广聚能源(000096)中信海直(000099)TCL集团\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:45:06')
('特发信息(000070)海王生物(000078)盐田港(000088)深圳机场\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:44:52')
('北方国际(000065)中国长城(000066)华控赛格(000068)华侨城A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:44:27')
('中金岭南(000060)农产品(000061)深圳华强(000062)中兴通讯(00006\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:44:07')
('方大集团(000055)皇庭国际(000056)深赛格(000058)华锦股份(00005\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:43:48')
('ST中侨(000047)*ST康达(000048)德赛电池(000049)深天马A(000050)\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:43:26')
('中洲控股(000042)中航善达(000043)深纺织A(000045)泛海控股(0000\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:43:09')
('深南电A(000037)深大通(000038)中集集团(000039)东旭蓝天(000040\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:42:45')
('#上证快讯#【沪深两市小幅低开 5G概念涨幅居前】周四沪深两市小幅低开。盘面上，5G概念、无线充电等板块涨幅居前，意华股份、太辰光、纵横通信涨停；黄金概念跌幅居前，西部黄金跌逾4%。|沪深两市小...', '2018-07-11 21:42:36')
('深深房A(000029)富奥股份(000030)中粮地产(000031)深桑达A(00003\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:42:32')
('新都退(000033)神州数码(000034)中国天楹(000035)华联控股(00003\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:42:24')
('特力A(000025)飞亚达A(000026)深圳能源(000027)国药一致(000028)\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:41:46')
('深科技(000021)深赤湾A(000022)深天地A(000023)招商地产(000024)\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:41:21')
('深中华A(000017)神州长城(000018)深深宝A(000019)深华发A(000020\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:41:22')
('*ST石化A(000013)沙河股份(000014)PT中浩A(000015)深康佳A(00001\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:40:46')
('中国宝安(000009)美丽生态(000010)深物业A(000011)南玻A(000012)\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:40:23')
('世纪星源(000005)深振业A(000006)全新好(000007)神州高铁(000008\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:39:58')
('平安银行(000001) 万科A(000002)PT金田A(000003)国农科技(000004)\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-11 21:39:32')
('受中兴通讯消息刺激，5G板块集体高开，$中兴通讯 sz000063$ 、$意华股份 sz002897$ 、纵横通信一字板。', '2018-07-11 21:33:55')
('中兴通讯AH股均大涨，中兴通讯H股高开14.9%，A股一字涨停，5G板块开盘异动，太辰光、纵横通信、天邑股份一字涨停，科创新源、中富通等多股大涨$上证指数 sh000001$ \ue627 今日看盘', '2018-07-11 21:33:30')
('通信设备中兴通讯，意华股份，欣天科技，纵横通信等多只涨停！东方通信，润建通信中通国脉，特发信息，广和通等大幅飙升，', '2018-07-11 21:32:56')
('中兴通讯AH股均大涨，中兴通讯H股高开14.9%，A股一字涨停，5G板块开盘异动，太辰光、纵横通信、天邑股份一字涨停，科创新源、中富通等多股大涨。消息面上：美商务部与中兴通讯达成协议，取消制裁。', '2018-07-11 21:26:43')
('特斯拉：长盛轴承，威唐工业 5g：纵横通信 贬值：天地数码 新股：锐科激光', '2018-07-11 21:07:43')
('股市唯一不欺骗人的“集合竞价”顺口溜，新手熟记：可实现百亿梦 $莱宝高科 sz002106$ $神剑股份 sz002361$ $云铝股份 sz000807$ $纵横通信 sh603602$ 小正太Ente...', '2018-07-11 14:32:02')
('发布了头条文章：《机构逆势锁仓金马强势诞生？603602纵横通信+002354天神娱乐》 $纵横通信 sh603602$ $天神娱乐 sz002354$ #股票分析# #个股推荐与走势分析# #短线牛股# |机构逆势锁...', '2018-07-11 11:54:17')
('$绿庭投资 sh600695$ $纵横通信 sh603602$ $福达合金 sh603045$ 客观的讲纵横停牌时大盘3220，现在2700，最少跌3个板是非常合理的，同时可以参考有些5G的股票大部分跌了40%以上。但纵横庄家只跌了1个跌停并第2天反抽7个点，拿了3个月亏损4个点，其实还得要感激上市公司和庄家的合金则看要期待 ...展开全文c', '2018-07-11 04:35:28')
('深汕新区第一龙头横空出世，中报业绩暴增342倍，或逆天改命变妖 $昆药集团 sh600422$ $国机通用 sh600444$ $吉比特 sh603444$ $纵横通信 sh603602$ 姚晓浪的秒...', '2018-07-11 03:16:50')
('今天特朗普对贸易战加码，大盘直接低开46个点，早盘情绪已坏，个股跌幅的$国科微 sz300672$ $金奥博 sz002917$  $锋龙股份 sz002931$、赛意信息、福达合金、泰永长征、越博动力 、纵横通信、摩恩电气、思创医惠、吉翔股份、拓斯达、绿庭投资、神雾节能、完美世界等，直接奔着跌停板去。现在个 ...展开全文c', '2018-07-11 02:49:45')
('发布了头条文章：《机构逆势锁仓金马强势诞生？603602纵横通信+603660苏州科达》 $纵横通信 sh603602$ $苏州科达 sh603660$ #股票分析# #个股推荐与走势分析# #短线牛股# |机构逆势锁...', '2018-07-11 01:55:14')
('$纵横通信 sh603602$ 前期停牌三个月，重组失败跌停。此前陈香也比较喜欢做这只个股，很多时候都能盈利撤离，只不过因这段时间的消息面的影响，并不敢动。昨天虽然有资金去撬，陈香也不敢博，但也有不少朋友进场博弈，不知有没有撤出来没？', '2018-07-11 01:53:00')
('发布了头条文章：《庄家诡秘锁仓金妖将引爆？603602纵横通信+603660苏州科达》 $纵横通信$苏州科达 sh603660$ #股票分析# #个股推荐与走势分析# #短线牛股# |庄家诡秘锁...', '2018-07-11 01:07:48')
('至纯科技牛逼，纵横通信我还拿着，依然暴利。', '2018-07-09 21:51:38')
('至纯科技没敢上，上了跌停的纵横通信。', '2018-07-11 01:02:33')
('主力吹响反攻号角，后市暴涨拉升!$古井贡酒 sz000596$ $越博动力 sz300742$沃森生物 sz300142$中海达 sz300177$纵横通信 sh603602$中国人寿 sh601628$ 风晓解股的...', '2018-07-10 11:25:47')
('7月10日重点股发布大单流向超短线高风险深信服、阿石创、天成自控、欣锐科技、深冷股份、永和智控、路畅科技、道森股份、亿嘉和、中信建投、彤程新材、奥飞数据、天地数码、风华高科、华自科技、中海达、信息发展、星星科技、双一科技、纵横通信、德生科技、越博动力、汉嘉设计、南京证券、超跌 ...展开全文c', '2018-07-10 09:52:58')
('翘板$纵横通信 sh603602$ 早上跌停板上挂了只成交了几百股，，下楼一趟感觉不对，加一点，，，让我来替大家冒险试试看能不能地天板', '2018-07-10 07:32:57')
('午后关注三股!有望爆发反攻：可立克002782：新能源汽车产业链，目前上涨7.42%纵横通信603602：5G+填权+复盘，目前上涨3.50% ...展开全文c', '2018-07-10 02:53:56')
('大盘现在就是缺量，看出量的预警可以看$纵横通信 sh603602$ 能否地天板，可以作为一个观察前提。', '2018-07-09 22:18:37')
('发布了头条文章：《股市精彩走势揭幕：奥翔药业 纵横通信 华海药业 海螺水泥》$奥翔药业 sh603229$ $纵横通信 sh603602$ $华海药业 sh600521$ $海螺水泥 sh600585$ #上证快讯# |股市精彩走...', '2018-07-09 21:36:44')
('北京一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $移为通信 sz300590$ $航天电器 sz002025$ $纵横通信 sh603602$ $第一医药 sh600833$ 李域悟看盘...', '2018-07-09 18:16:28')
('一位股海高手20年悟出成交量炒股战法，学会出手就是强势股！精辟 $东方中科 sz002819$ $博彦科技 sz002649$ $力帆股份 sh601777$ $纵横通信 sh603602$ 李域悟看盘...', '2018-07-09 13:26:09')
('今天出了000802，进老情人603666，不是很给力，趋势票稳妥，只能这样了，期望明天可以雄起一下。明天关注：300746汉嘉设计，603650彤程新材，603602纵横通信', '2018-07-09 11:51:09')
('网页链接 今日停复牌沪市鲁银投资、纵横通信停牌起始日2018年7月6日。深市东方新星停牌。中国天楹[股评]、海南海药、印纪传媒、齐...|股海导航 7...', '2018-07-09 09:55:06')
('发布了头条文章：《18妖股突袭A股战场？600521华海药业+603602纵横通信》 $华海药业 sh600521$ $纵横通信 sh603602$ #股票分析# #个股推荐与走势分析# #短线牛股# |18妖股突袭...', '2018-07-09 02:13:15')
('今天大盘开始反弹，指数已经临近收复2800，其中5G板块今天高开高走，该板块基本都在涨，但是其中有个特例，$纵横通信 sh603602$ ，停牌了三个月，今天复牌一字板按死，丝毫不给散户出逃机会，之前停牌是要筹划重大资产重组，就在上周宣布终止重组，满怀希望的等待了这么久，结果却让散户们心灰意冷，重 ...展开全文c', '2018-07-09 02:04:16')
('#纵横通信 sh603602[股票]# 这个票是因为重组失败才会导致复牌出现了跌停，目前这个票的整体趋势也已经破位了，建议短线减仓，更换操作的标的', '2018-07-08 23:06:03')
('【停/复牌、解禁股数据】复牌个股：中国天楹、海南海药、印纪传媒、齐心集团、金一文化、福瑞股份、鲁银投资、纵横通信停牌个股：东方新星解禁个股：航天晨光、博晖创新、荣科科技、美盛文化、泰豪科技、银鸽投资、派思股份、长缆科技、科大智能、维尔利\ue627 今日看盘 #小米上市# #新浪财经# ...展开全文c', '2018-07-08 21:35:21')
('$纵横通信 sh603602$ 一般两个地板是会有的，所以今天就算跌停开盘的话那么也不要想着进去抄底接力', '2018-07-08 21:30:02')
('【停牌个股】无【复牌个股】中国天楹、海南海药、福瑞股份、鲁银投资、印纪传媒、齐心集团、纵横通信、金一文化', '2018-07-08 21:28:51')
('复牌公司：中国天楹（000035）、海南海药（000566）、印纪传媒(002143)、齐心集团(002301)、金一文化（002721）、福瑞股份（300049）、鲁银投资(600784)、纵横通信(603602)。停牌公司：东方新星(002755)。$创业板指 sz399006$ $深证成指 sz399001$ $上证指数 sh000001$', '2018-07-08 11:28:04')
('26岁股坛奇才自暴：“筹码”试盘，千万不要卖出，百分百是大牛股 $深天地A sz000023$ $和顺电气 sz300141$ $纵横通信 sh603602$ $XD中国交 sh601800$ 小正太Ente...', '2018-07-07 03:42:06')
('网页链接 证券时报记者 孙宪超纵横通信[股评]因筹划重大资产重组，已于2018年4月9日起停牌。在停牌将满2个月之际，纵横通信于7...|纵横通信终...', '2018-07-05 04:33:30')
('【纵横通信终止收购多麦股份外延式扩张暂遇阻】纵横通信因筹划重大资产重组，已于2018年4月9日起停牌。在停牌将满2个月之际，纵横通信于7月4日晚公告，称终止此次重大资产重组。据了解，纵横通信此次拟并购标的为新三板挂牌企业多麦股份。纵横通信本次交易的方式是发行股份和支付现金相结合。对于重组 ...展开全文c', '2018-07-05 02:16:49')
('福达合金继续涨停，这两天下来已经上涨20%了，虽然市场非常差，但福达合金这个涨停很具有代表性，市场有意去打造二龙头。这样的例子在过去出现过，比如去年8月底纵横通信带动的次新股集体吃面后次日，朗新科技为代表的次新股发动了第二波行情，试图带动次新股热度，但是效果最后看一般。不过如果你熟悉 ...展开全文c', '2018-07-05 01:01:42')
('次新股不少都在反包，$福达合金 sh603045$ ——南京证券都是涨停，福达算我看走眼昨天封的比较勉强今天直接转势板，市场有意打造二龙头，这跟去年纵横通信带动次新股集体吃面后次日郎新科技揭竿而起发动第二波行情一样，但最后效果都一般。既然要续命，还得看市场认可。新能源今天也很强势 ...展开全文c', '2018-07-04 23:53:57')
('这种手法在过去曾经出现过，比如去年8.29日$纵横通信 sh603602$ 带动的次新股见顶，纵横通信更是连续两天大幅度杀跌接近20个点，但是30日$朗新科技 sz300682$ 为代表继续连板，最终在接下来两天再度带动次新股板块热度，而纵横通信也得以做反包。 网页链接', '2018-07-04 23:24:46')
('福达合金这个涨停很具有代表性，市场有意去打造二龙头。这样的例子在过去出现过，比如去年8月底纵横通信带动的次新股集体吃面后次日，朗新科技为代表的次新股发动了第二波行情，试图带动次新股热度，但是效果最后看一般。不过如果你熟悉这种板块二龙头打造的方法，那么在昨天福达合金涨停的时候，就会 ...展开全文c', '2018-07-04 22:01:36')
('个股利空：$三泰控股 sz002312$ 中报预亏；联化科技中报预降；广州浪奇、新日恒力、九洲药业、纵横通信终止筹划重大资产重组；盛讯达终止投设互联网小贷公司；必康股份孙公司色甘酸钠滴眼液违规返工，被收回GMP证书；雪人股份公司及财务总监被出具警示函；腾信股份控股股东质押股份触及平仓线；雅百特 ...展开全文c', '2018-07-04 21:04:22')
('与小米合作长达9年第一的A股公司：周一或将成真正龙头？附股 $武进不锈 sh603878$ $星网锐捷 sz002396$ $东富龙 sz300171$ $纵横通信 sh603602$ 我的小蜗牛...', '2018-07-04 20:57:15')
('极少人知道的“多阴收阳”买入技巧，牢记3个铁律，炒股如印钞机 $辉丰股份 sz002496$ $青青稞酒 sz002646$ $丹邦科技 sz002618$ $纵横通信 sh603602$ QueenieL的...', '2018-07-02 21:54:41')
('北京一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $纵横通信 sh603602$ $神马股份 sh600810$ $隆盛科技 sz300680$ $工业富联 sh601138$ 我的小蜗牛...', '2018-06-30 01:45:49')
('股神均线：周线选股法是股市唯一100%盈利技巧，建议散户学习 $纵横通信 sh603602$ $华中数控 sz300161$ $东材科技 sh601208$ $摩恩电气 sz002451$ QueenieL的...', '2018-06-27 23:37:12')
('一旦股票出现“十字星”信号，坚决捂股，即将有一波暴涨行情！ $西王食品 sz000639$ $珠江实业 sh600684$ $纵横通信 sh603602$ $中再资环 sh600217$ 我的小蜗牛...', '2018-06-27 15:10:09')
('广信股份 永艺股份 再升科技 纵横通信！#瑞凌股份 sz300154[股票]# 许楚沛分析...', '2018-06-26 23:07:09')
('与小米合作长达9年第一的A股公司：周一或将成真正龙头？附股 $百隆东方 sh601339$ $纵横通信 sh603602$ $湘油泵 sh603319$ $集泰股份 sz002909$ 我的小蜗牛...', '2018-06-26 20:50:25')
('纵横通信 博天环境 珀莱雅 东方电缆 京华激光 天创时尚 股海大咖的...', '2018-06-26 10:02:22')
('20岁股市奇才豪言：盘口选股是100％盈利方法，5分钟获28次掌声 $纵横通信 sh603602$ $金达威 sz002626$ $利尔化学 sz002258$ $万泽股份 sz000534$ 我的小蜗牛...', '2018-06-25 10:19:47')
('发布了头条文章：《纵横通信 禾丰牧业 杭电股份 南威软件：万事俱备，只欠东风！》 |纵横通信 ...', '2018-06-12 02:26:55')
('股权登记：欣天科技、意华股份、维宏股份、华孚时尚、城地股份、纵横通信、来伊份、光明地产、巨化股份、迪生力、海峡股份、爱施德。#迪生力 sh603335[股票]#', '2018-06-05 02:43:27')
('大家有没有发现，熊市里的大牛股都是次新！即使去年是蓝筹价值股的牛市，但照样有$中科信息 sz300678$ （次新股），短短两个星期翻倍。还有$纵横通信 sh603602$ 、$建科院 sz300675$ （开板次新）、5G $中通国脉 sh603559$ （题材次新）……今年的大牛也都是次新！所以兵哥觉得，任何一只低位的超 ...展开全文c', '2018-06-05 01:47:12')
('#投资达人说# #今日看盘# @微博股票 $唐德影视 sz300426$ $方大炭素 sh600516$ 复牌个股：山煤国际、陕西金叶、粤泰股份、梦舟股份、摩恩电气、司太立、国科微、隆盛科技、*ST德奥。股权登记：欣天科技、意华股份、维宏股份、华孚时尚、城地股份、纵横通信、来伊份、光明地产、巨化股 ...展开全文c', '2018-06-04 20:53:03')
('5G第一阶段网络标准将于近日完成，华为、OPPO、vivo等中国企业确认参会商讨。5G商业化标准即将确定，产业加速发展将成常态5G概念股：通宇通讯（002792）、新易盛（300502）、吉大通信（300597）、华脉科技（603042）天邑股份（300504）、润建通信（002929）、广和通（300638）、纵横通信（603602）等', '2018-05-21 21:03:51')
('不知道是出是留吗？可以加wei信:371540346，指导最佳买卖点，解读个股解套方法，纵横通信603602 联合光电300691 双一科技300690', '2018-05-21 08:58:45')
('中国移动：今年在上海已新增两座5G基站，计划年内超过百座。 5G概念股：纵横通信、吉大通信、广和通', '2018-05-16 22:38:22')
('中兴事件出现转机，说明“贸易谈判”将朝着好的方向发展，只要中美双方达成共识，就会达成共赢，今日建议适当关注：超讯通信、天邑股份、纵横通信、佳力图等', '2018-05-13 21:19:38')
('中国光谷6月底将建成20座5G基站。 5G概念股： 纵横通信、广和通、吉大通信、欣天科技、超讯通信', '2018-05-06 23:03:13')
('发布了头条文章：《诡异信号曝光主力阴谋：东方时尚+基蛋生物+吉翔股份+勘设股份》 #财经头条文章# #艾艾精工 sh603580[股票]# #东尼电子 sh603595[股票]# #纵横通信 sh603602[股票]# #禾丰牧业 sh603609[股票]# |诡异信号曝...', '2018-04-25 02:31:18')
('龙头战法东土科技：维力医疗 福鞍股份 派思股份 顶点软件 $维力医疗 sh603309$ $福鞍股份 sh603315$ $派思股份 sh603318$ $顶点软件 sh603383$ （新天然气邦宝益智思维列控司太立！美诺华纵横通信博天环境璞泰来！五洲新春至纯科技新日股份嘉澳环保）大家记住越是最强的热点龙头越是安全。昨天做梦都没 ...展开全文c', '2018-04-20 09:00:03')
('发布了头条文章：《平台突破，回归正道：纵横通信+陕西煤业+株冶集团+世茂股份》 $纵横通信 sh603602$ $陕西煤业 sh601225$ $株冶集团 sh600961$ $世茂股份 sh600823$ #原创首发# |平台突破，...', '2018-04-17 22:49:53')
('【远望谷：重大资产重组标的变更 继续停牌】#远望谷 sz002161[股票]# 公告，公司重大资产重组标的发生变更，公司将继续推进与希奥信息的重组，但不再推进收购一拓通信的事项。同时，公司就收购龙铁纵横事项达成初步意向。综上，公司重组标的资产变更为希奥信息、龙铁纵横的部分或全部股权。龙铁纵横是 ...展开全文c', '2018-04-16 09:10:07')
('首批5G试点城市最新名单公布，今年将应用落地。 5G概念股：超讯通信、通宇通讯、新易盛、移为通信、纵横通信', '2018-04-12 06:44:46')
('可喜可贺，直播送出的福利金股之剑桥科技一直涨不停，午后再次放量大涨6%，该股本周也一直强调逢低可以继续关注，还有它的兄弟美格智能也非常不错的潜力股，推荐以来一直都在上涨，一起推荐的纵横通信目前停牌，坚信复盘后会有惊喜。', '2018-04-11 01:11:58')
